Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP
2025-02-18 16:57:53.372053 +0000 UTC,192.168.0.3,52682,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,10000,203166,481000,191314,68000,302250,464000,178296,1219000,1219000,1219000,1219000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,6000,0
2025-02-18 16:57:53.372392 +0000 UTC,192.168.0.3,52752,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,9000,197000,554000,200721,54000,293000,557000,207076,1182000,1182000,1182000,1182000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,96000,0
2025-02-18 16:57:53.371894 +0000 UTC,192.168.0.3,52650,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,16000,387400,987000,386276,94000,387200,990000,373704,1949000,1949000,1949000,1949000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,29000,0
2025-02-18 16:57:53.371823 +0000 UTC,192.168.0.3,52618,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,57000,346166,976000,331911,145000,507250,1216000,483746,2077000,2077000,2077000,2077000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,0,0
2025-02-18 16:57:53.372058 +0000 UTC,192.168.0.3,52680,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,4000,334833,1329000,496290,193000,493500,1298000,536969,2009000,2009000,2009000,2009000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,5000,0
2025-02-18 16:57:53.373221 +0000 UTC,192.168.0.3,52852,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,10000,148000,394000,133689,86000,218000,383000,140800,888000,888000,888000,888000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,166000,0
2025-02-18 16:57:53.372119 +0000 UTC,192.168.0.3,52698,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,8000,359166,903000,375151,230000,536000,879000,317875,2155000,2155000,2155000,2155000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,61000,0
2025-02-18 16:57:53.372685 +0000 UTC,192.168.0.3,52804,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,18000,342800,760000,296992,114000,340600,759000,267857,1719000,1719000,1719000,1719000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,91000,0
2025-02-18 16:57:53.372594 +0000 UTC,192.168.0.3,52794,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,8000,363600,846000,387218,39000,363800,697000,257654,1826000,1826000,1826000,1826000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,142000,0
2025-02-18 16:57:53.372047 +0000 UTC,192.168.0.3,52668,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,61000,445333,1681000,612589,149000,655000,1659000,681114,2672000,2672000,2672000,2672000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,8000,0
2025-02-18 16:57:53.373413 +0000 UTC,192.168.0.3,52860,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,13000,221500,397000,158948,64000,329250,487000,183968,1329000,1329000,1329000,1329000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,191000,0
2025-02-18 16:57:53.371824 +0000 UTC,192.168.0.3,52622,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,40000,493000,1664000,612057,196000,723500,1647000,635512,2958000,2958000,2958000,2958000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,1000,0
2025-02-18 16:57:53.372031 +0000 UTC,192.168.0.3,52672,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,9000,589200,2048000,838836,85000,589400,2034000,828514,2953000,2953000,2953000,2953000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,111000,0
2025-02-18 16:57:53.372806 +0000 UTC,192.168.0.3,52816,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,10000,368833,1206000,457759,173000,550750,1190000,465078,2213000,2213000,2213000,2213000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,48000,0
2025-02-18 16:57:53.372289 +0000 UTC,192.168.0.3,52730,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,9000,463666,2152000,831536,192000,692750,2130000,958481,2782000,2782000,2782000,2782000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,127000,0
2025-02-18 16:57:53.372039 +0000 UTC,192.168.0.3,52674,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,11000,561333,2382000,913774,173000,839250,2374000,1039094,3368000,3368000,3368000,3368000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,8000,0
2025-02-18 16:57:53.373967 +0000 UTC,192.168.0.3,52900,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,10000,291400,847000,333158,64000,294600,456000,154605,1480000,1480000,1480000,1480000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,2000,0
2025-02-18 16:57:53.373757 +0000 UTC,192.168.0.3,52886,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,10000,356500,1382000,514430,93000,532250,1377000,574113,2139000,2139000,2139000,2139000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,34000,0
2025-02-18 16:57:53.374282 +0000 UTC,192.168.0.3,52918,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,8000,344600,1001000,437212,22000,344800,999000,433992,1730000,1730000,1730000,1730000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,143000,0
2025-02-18 16:57:53.373617 +0000 UTC,192.168.0.3,52866,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,9000,482000,1481000,588531,128000,484000,1467000,553893,2427000,2427000,2427000,2427000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,204000,0
2025-02-18 16:57:53.372452 +0000 UTC,192.168.0.3,52778,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,29000,717800,2109000,803942,17000,713800,2102000,803374,3596000,3596000,3596000,3596000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,20000,0
